Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
2317,Exit long,2025-10-23 14:45,Long Exit,4157,24,99763.2,-48,0.00,2568,0.26,-480,-0.05,26409,2.64
2317,Entry long,2025-10-23 14:35,Long,4156.8,24,99763.2,-48,0.00,2568,0.26,-480,-0.05,26409,2.64
2318,Exit long,2025-10-23 17:35,Long Exit,4157.4,24,99763.2,48,0.00,912,0.09,-456,-0.05,26457,2.65
2318,Entry long,2025-10-23 17:20,Long,4156.8,24,99763.2,48,0.00,912,0.09,-456,-0.05,26457,2.65
2319,Exit long,2025-10-23 18:05,Long Exit,4149.3,24,99511.2,624,0.06,2016,0.20,-552,-0.06,27081,2.71
2319,Entry long,2025-10-23 17:45,Long,4146.3,24,99511.2,624,0.06,2016,0.20,-552,-0.06,27081,2.71
2320,Exit long,2025-10-23 18:40,Long Exit,4149.4,24,99516,600,0.06,1608,0.16,-936,-0.09,27681,2.77
2320,Entry long,2025-10-23 18:25,Long,4146.5,24,99516,600,0.06,1608,0.16,-936,-0.09,27681,2.77
2321,Exit short,2025-10-23 20:50,Short Exit,4136,24,99232.8,-408,-0.04,384,0.04,-1224,-0.12,27273,2.73
2321,Entry short,2025-10-23 20:35,Short,4134.7,24,99232.8,-408,-0.04,384,0.04,-1224,-0.12,27273,2.73
2322,Exit short,2025-10-23 21:15,Short Exit,4130.6,24,99156,120,0.01,1200,0.12,-984,-0.10,27393,2.74
2322,Entry short,2025-10-23 21:00,Short,4131.5,24,99156,120,0.01,1200,0.12,-984,-0.10,27393,2.74
