Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
54,Exit short,2025-04-23 02:40,Short Exit,3389.7,2,6745.4,-348,-0.52,94,0.14,-344,-0.51,2264,0.23
54,Entry short,2025-04-23 02:00,Short,3372.7,2,6745.4,-348,-0.52,94,0.14,-344,-0.51,2264,0.23
55,Exit short,2025-04-23 03:55,Short Exit,3359,2,6743.2,244,0.36,248,0.37,-34,-0.05,2508,0.25
55,Entry short,2025-04-23 03:40,Short,3371.6,2,6743.2,244,0.36,248,0.37,-34,-0.05,2508,0.25
56,Exit short,2025-04-23 03:55,TP 3:1,3363.4,1,3357.7,-61,-0.18,0,0.00,-59,-0.18,2445,0.24
56,Entry short,2025-04-23 03:55,Short,3357.7,1,3357.7,-61,-0.18,0,0.00,-59,-0.18,2445,0.24
57,Exit short,2025-04-23 06:15,Short Exit,3357.8,1,3357.7,-5,-0.01,184,0.55,-79,-0.24,2442,0.24
57,Entry short,2025-04-23 03:55,Short,3357.7,1,3357.7,-5,-0.01,184,0.55,-79,-0.24,2442,0.24
58,Exit short,2025-04-23 06:45,Short Exit,3326.8,2,6698,436,0.65,440,0.66,-82,-0.12,2878,0.29
58,Entry short,2025-04-23 06:25,Short,3349,2,6698,436,0.65,440,0.66,-82,-0.12,2878,0.29
59,Exit short,2025-04-23 06:45,TP 3:1,3326.8,1,3324.9,-23,-0.07,0,0.00,-21,-0.06,2853,0.29
59,Entry short,2025-04-23 06:45,Short,3324.9,1,3324.9,-23,-0.07,0,0.00,-21,-0.06,2853,0.29
60,Exit short,2025-04-23 08:00,Short Exit,3318.1,1,3324.9,64,0.19,221,0.66,-120,-0.36,2919,0.29
60,Entry short,2025-04-23 06:45,Short,3324.9,1,3324.9,64,0.19,221,0.66,-120,-0.36,2919,0.29
61,Exit long,2025-04-24 04:30,Long Exit,3334.2,2,6690.2,-226,-0.34,630,0.94,-222,-0.33,2693,0.27
61,Entry long,2025-04-24 01:25,Long,3345.1,2,6690.2,-226,-0.34,630,0.94,-222,-0.33,2693,0.27
62,Exit long,2025-04-24 08:35,Long Exit,3335.6,2,6691,-206,-0.31,104,0.16,-202,-0.30,2487,0.25
62,Entry long,2025-04-24 08:00,Long,3345.5,2,6691,-206,-0.31,104,0.16,-202,-0.30,2487,0.25
63,Exit long,2025-04-24 23:05,EOD Close 21:00 UTC,3376,2,6749.2,20,0.03,52,0.08,-118,-0.17,2507,0.25
63,Entry long,2025-04-24 23:00,Long,3374.6,2,6749.2,20,0.03,52,0.08,-118,-0.17,2507,0.25
64,Exit short,2025-04-25 14:00,Short Exit,3294,2,6668.4,796,1.19,800,1.20,-84,-0.13,3303,0.33
64,Entry short,2025-04-25 04:55,Short,3334.2,2,6668.4,796,1.19,800,1.20,-84,-0.13,3303,0.33
65,Exit long,2025-04-27 23:05,EOD Close 21:00 UTC,3332.5,2,6673.8,-96,-0.14,0,0.00,-100,-0.15,3207,0.32
65,Entry long,2025-04-27 23:00,Long,3336.9,2,6673.8,-96,-0.14,0,0.00,-100,-0.15,3207,0.32
66,Exit short,2025-04-28 03:40,Short Exit,3293.4,2,6570.8,-168,-0.26,148,0.23,-164,-0.25,3039,0.30
66,Entry short,2025-04-28 03:00,Short,3285.4,2,6570.8,-168,-0.26,148,0.23,-164,-0.25,3039,0.30
67,Exit short,2025-04-28 13:20,Short Exit,3310.4,2,6605.6,-160,-0.24,396,0.60,-156,-0.24,2879,0.29
67,Entry short,2025-04-28 06:35,Short,3302.8,2,6605.6,-160,-0.24,396,0.60,-156,-0.24,2879,0.29
68,Exit short,2025-04-30 13:45,Short Exit,3313.5,2,6589.2,-386,-0.59,374,0.57,-382,-0.58,2493,0.25
68,Entry short,2025-04-30 09:10,Short,3294.6,2,6589.2,-386,-0.59,374,0.57,-382,-0.58,2493,0.25
69,Exit long,2025-04-30 23:00,EOD Close 21:00 UTC,3295.3,2,6629.2,-394,-0.59,310,0.47,-420,-0.63,2099,0.21
69,Entry long,2025-04-30 13:45,Long,3314.6,2,6629.2,-394,-0.59,310,0.47,-420,-0.63,2099,0.21
70,Exit short,2025-04-30 23:15,EOD Close 21:00 UTC,3283.8,2,6571.2,28,0.04,86,0.13,-44,-0.07,2127,0.21
70,Entry short,2025-04-30 23:10,Short,3285.6,2,6571.2,28,0.04,86,0.13,-44,-0.07,2127,0.21
71,Exit short,2025-05-01 02:05,Short Exit,3243,2,6537.6,508,0.78,512,0.78,-16,-0.02,2635,0.26
71,Entry short,2025-05-01 01:20,Short,3268.8,2,6537.6,508,0.78,512,0.78,-16,-0.02,2635,0.26
