Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
103,Exit short,2025-09-23 20:15,Short Exit,3786.3,2,7620,322.07,0.42,397.8,0.52,-256.2,-0.34,-13870.48,-13.87
103,Entry short,2025-09-23 15:05,Short Entry,3810,2,7620,322.07,0.42,397.8,0.52,-256.2,-0.34,-13870.48,-13.87
104,Exit long,2025-09-24 00:20,EOD Close 21:00 UTC,3800.6,2,7602.4,-164.04,-0.22,0,0.00,-116.02,-0.15,-14034.52,-14.03
104,Entry long,2025-09-24 00:15,Long Entry,3801.2,2,7602.4,-164.04,-0.22,0,0.00,-116.02,-0.15,-14034.52,-14.03
105,Exit short,2025-09-24 00:45,EOD Close 21:00 UTC,3795.4,2,7588,-179.79,-0.24,0,0.00,-119.88,-0.16,-14214.3,-14.21
105,Entry short,2025-09-24 00:40,Short Entry,3794,2,7588,-179.79,-0.24,0,0.00,-119.88,-0.16,-14214.3,-14.21
106,Exit long,2025-09-24 02:30,Long Exit,3789.8,2,7599.6,-351.79,-0.46,0.004,0.00,-276,-0.36,-14566.1,-14.57
106,Entry long,2025-09-24 02:10,Long Entry,3799.8,2,7599.6,-351.79,-0.46,0.004,0.00,-276,-0.36,-14566.1,-14.57
107,Exit short,2025-09-24 06:00,Short Exit,3801.4,2,7577.2,-407.8,-0.54,38.23,0.05,-331.77,-0.44,-14973.9,-14.97
107,Entry short,2025-09-24 02:50,Short Entry,3788.6,2,7577.2,-407.8,-0.54,38.23,0.05,-331.77,-0.44,-14973.9,-14.97
108,Exit short,2025-09-24 15:20,Short Exit,3786.4,2,7606.4,184.21,0.24,259.94,0.34,-140.06,-0.18,-14789.69,-14.79
108,Entry short,2025-09-24 09:30,Short Entry,3803.2,2,7606.4,184.21,0.24,259.94,0.34,-140.06,-0.18,-14789.69,-14.79
109,Exit long,2025-09-24 23:05,EOD Close 21:00 UTC,3770.5,2,7519.8,61.39,0.08,164.8,0.22,-85.2,-0.11,-14728.3,-14.73
109,Entry long,2025-09-24 20:45,Long Entry,3759.9,2,7519.8,61.39,0.08,164.8,0.22,-85.2,-0.11,-14728.3,-14.73
110,Exit short,2025-09-25 08:35,Short Exit,3781.8,2,7544.6,-341.08,-0.45,164.55,0.22,-265.45,-0.35,-15069.38,-15.07
110,Entry short,2025-09-25 02:15,Short Entry,3772.3,2,7544.6,-341.08,-0.45,164.55,0.22,-265.45,-0.35,-15069.38,-15.07
111,Exit short,2025-09-25 14:40,Short Exit,3759.8,2,7560.4,257.2,0.34,332.4,0.44,-211.6,-0.28,-14812.18,-14.81
111,Entry short,2025-09-25 12:05,Short Entry,3780.2,2,7560.4,257.2,0.34,332.4,0.44,-211.6,-0.28,-14812.18,-14.81
112,Exit long,2025-09-25 23:05,EOD Close 21:00 UTC,3778.4,2,7547.4,-57.04,-0.08,240.53,0.32,-199.47,-0.26,-14869.22,-14.87
112,Entry long,2025-09-25 19:05,Long Entry,3773.7,2,7547.4,-57.04,-0.08,240.53,0.32,-199.47,-0.26,-14869.22,-14.87
113,Exit short,2025-09-26 00:20,EOD Close 21:00 UTC,3769,2,7552.8,-2.91,0.00,82.47,0.11,-81.53,-0.11,-14872.13,-14.87
113,Entry short,2025-09-26 00:15,Short Entry,3776.4,2,7552.8,-2.91,0.00,82.47,0.11,-81.53,-0.11,-14872.13,-14.87
114,Exit long,2025-09-26 02:20,Long Exit,3769.7,2,7558.6,-342.98,-0.45,6.41,0.01,-267.59,-0.35,-15215.11,-15.22
114,Entry long,2025-09-26 02:00,Long Entry,3779.3,2,7558.6,-342.98,-0.45,6.41,0.01,-267.59,-0.35,-15215.11,-15.22
115,Exit short,2025-09-28 23:05,EOD Close 21:00 UTC,3794.4,2,7540.4,-635.29,-0.84,44.6,0.06,-961.4,-1.27,-15850.4,-15.85
115,Entry short,2025-09-26 02:25,Short Entry,3770.2,2,7540.4,-635.29,-0.84,44.6,0.06,-961.4,-1.27,-15850.4,-15.85
116,Exit long,2025-09-28 23:25,EOD Close 21:00 UTC,3796,2,7598.4,-215.9,-0.28,0,0.00,-151.98,-0.20,-16066.3,-16.07
116,Entry long,2025-09-28 23:20,Long Entry,3799.2,2,7598.4,-215.9,-0.28,0,0.00,-151.98,-0.20,-16066.3,-16.07
117,Exit short,2025-09-29 03:15,Short Exit,3816.3,2,7611,-368.44,-0.48,105.89,0.14,-292.11,-0.38,-16434.74,-16.43
117,Entry short,2025-09-29 02:15,Short Entry,3805.5,2,7611,-368.44,-0.48,105.89,0.14,-292.11,-0.38,-16434.74,-16.43
118,Exit long,2025-09-29 23:05,EOD Close 21:00 UTC,3860.9,2,7639.8,666.38,0.87,805.6,1.05,-132.4,-0.17,-15768.36,-15.77
118,Entry long,2025-09-29 03:20,Long Entry,3819.9,2,7639.8,666.38,0.87,805.6,1.05,-132.4,-0.17,-15768.36,-15.77
119,Exit short,2025-09-29 23:35,EOD Close 21:00 UTC,3857.6,2,7711.6,-190.27,-0.25,0,0.00,-123.12,-0.16,-15958.62,-15.96
119,Entry short,2025-09-29 23:30,Short Entry,3855.8,2,7711.6,-190.27,-0.25,0,0.00,-123.12,-0.16,-15958.62,-15.96
120,Exit long,2025-09-30 04:10,Long Exit,3881.7,2,7728.2,197.08,0.25,274.72,0.36,-137.28,-0.18,-15761.54,-15.76
120,Entry long,2025-09-30 01:05,Long Entry,3864.1,2,7728.2,197.08,0.25,274.72,0.36,-137.28,-0.18,-15761.54,-15.76
121,Exit short,2025-09-30 09:20,Short Exit,3851.2,2,7768.8,509.29,0.65,586.31,0.75,-159.69,-0.21,-15252.25,-15.25
121,Entry short,2025-09-30 07:55,Short Entry,3884.4,2,7768.8,509.29,0.65,586.31,0.75,-159.69,-0.21,-15252.25,-15.25
122,Exit long,2025-09-30 15:20,Long Exit,3879.4,2,7694,493.47,0.64,571.06,0.74,-222.94,-0.29,-14758.78,-14.76
122,Entry long,2025-09-30 13:50,Long Entry,3847,2,7694,493.47,0.64,571.06,0.74,-222.94,-0.29,-14758.78,-14.76
123,Exit short,2025-09-30 20:50,Short Exit,3887.1,2,7725.6,-641,-0.83,6.74,0.01,-563.26,-0.73,-15399.78,-15.40
123,Entry short,2025-09-30 16:15,Short Entry,3862.8,2,7725.6,-641,-0.83,6.74,0.01,-563.26,-0.73,-15399.78,-15.40
124,Exit short,2025-10-01 02:25,Short Exit,3893.2,2,7774.2,-277.61,-0.36,0,0.00,-199.74,-0.26,-15677.38,-15.68
124,Entry short,2025-10-01 02:10,Short Entry,3887.1,2,7774.2,-277.61,-0.36,0,0.00,-199.74,-0.26,-15677.38,-15.68
125,Exit long,2025-10-01 03:50,Long Exit,3886.6,2,7788,-303.61,-0.39,120.12,0.15,-225.88,-0.29,-15981,-15.98
125,Entry long,2025-10-01 02:45,Long Entry,3894,2,7788,-303.61,-0.39,120.12,0.15,-225.88,-0.29,-15981,-15.98
126,Exit long,2025-10-01 07:10,Long Exit,3885.8,2,7792.4,-363.64,-0.47,0,0.00,-285.92,-0.37,-16344.64,-16.34
126,Entry long,2025-10-01 06:05,Long Entry,3896.2,2,7792.4,-363.64,-0.47,0,0.00,-285.92,-0.37,-16344.64,-16.34
127,Exit short,2025-10-01 23:05,EOD Close 21:00 UTC,3890,2,7771.4,-241.51,-0.31,30.29,0.04,-819.71,-1.05,-16586.15,-16.59
127,Entry short,2025-10-01 07:15,Short Entry,3885.7,2,7771.4,-241.51,-0.31,30.29,0.04,-819.71,-1.05,-16586.15,-16.59
128,Exit short,2025-10-01 23:15,EOD Close 21:00 UTC,3888.5,2,7773.6,-189.51,-0.24,0,0.00,-115.74,-0.15,-16775.66,-16.78
128,Entry short,2025-10-01 23:10,Short Entry,3886.8,2,7773.6,-189.51,-0.24,0,0.00,-115.74,-0.15,-16775.66,-16.78
129,Exit long,2025-10-02 13:05,Long Exit,3915.3,2,7779.4,355.9,0.46,434.21,0.56,-155.79,-0.20,-16419.76,-16.42
