Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
50,Exit long,2025-09-03 01:20,Long Exit,3603.5,2,7207.8,-152.15,-0.21,0,0.00,-80.08,-0.11,-7381.89,-7.38
50,Entry long,2025-09-03 01:15,Long Entry,3603.9,2,7207.8,-152.15,-0.21,0,0.00,-80.08,-0.11,-7381.89,-7.38
51,Exit short,2025-09-03 12:30,Short Exit,3615.3,2,7195.2,-498.26,-0.69,38.05,0.05,-425.95,-0.59,-7880.15,-7.88
51,Entry short,2025-09-03 02:20,Short Entry,3597.6,2,7195.2,-498.26,-0.69,38.05,0.05,-425.95,-0.59,-7880.15,-7.88
52,Exit short,2025-09-03 14:00,Short Exit,3621.5,2,7216.2,-412.59,-0.57,0,0.00,-340.16,-0.47,-8292.74,-8.29
52,Entry short,2025-09-03 13:20,Short Entry,3608.1,2,7216.2,-412.59,-0.57,0,0.00,-340.16,-0.47,-8292.74,-8.29
53,Exit long,2025-09-04 01:05,Long Exit,3607.9,2,7244.8,-434.61,-0.60,295.55,0.41,-362.45,-0.50,-8727.35,-8.73
53,Entry long,2025-09-03 14:10,Long Entry,3622.4,2,7244.8,-434.61,-0.60,295.55,0.41,-362.45,-0.50,-8727.35,-8.73
54,Exit long,2025-09-04 02:30,Long Exit,3608.3,2,7234.4,-322.51,-0.45,13.66,0.02,-250.34,-0.35,-9049.86,-9.05
54,Entry long,2025-09-04 01:55,Long Entry,3617.2,2,7234.4,-322.51,-0.45,13.66,0.02,-250.34,-0.35,-9049.86,-9.05
55,Exit short,2025-09-04 02:35,Short Exit,3608.6,2,7214.8,-168.32,-0.23,0,0.00,-98.15,-0.14,-9218.18,-9.22
55,Entry short,2025-09-04 02:30,Short Entry,3607.4,2,7214.8,-168.32,-0.23,0,0.00,-98.15,-0.14,-9218.18,-9.22
56,Exit long,2025-09-04 14:35,Long Exit,3616.8,2,7187.4,317.79,0.44,390.13,0.54,-109.87,-0.15,-8900.39,-8.90
56,Entry long,2025-09-04 07:25,Long Entry,3593.7,2,7187.4,317.79,0.44,390.13,0.54,-109.87,-0.15,-8900.39,-8.90
57,Exit short,2025-09-05 04:40,Short Exit,3616.6,2,7189,-586.22,-0.81,0,0.00,-513.89,-0.71,-9486.61,-9.49
